281	2005-01-01	Africa	CONGO, THE DEMOCRATIC REPUBLIC OF THE          	1	0
282	2005-01-01	Africa	EGYPT                                          	7	1
283	2005-01-01	Africa	FIJI                                           	2	0
284	2005-01-01	Africa	FRENCH POLYNESIA                               	2	0
285	2005-01-01	Africa	GABON                                          	1	0
286	2005-01-01	Africa	GAMBIA                                         	1	0
287	2005-01-01	Africa	GHANA                                          	2	0
288	2005-01-01	Africa	GUAM                                           	1	0
289	2005-01-01	Africa	GUINEA-BISSAU                                  	1	0
290	2005-01-01	Africa	KENYA                                          	4	4
291	2005-01-01	Africa	LESOTHO                                        	1	0
292	2005-01-01	Africa	MALAWI                                         	1	0
293	2005-01-01	Africa	MAURITIUS                                      	8	0
294	2005-01-01	Africa	MOROCCO                                        	4	0
295	2005-01-01	Africa	MOZAMBIQUE                                     	3	0
296	2005-01-01	Africa	NAMIBIA                                        	1	0
297	2005-01-01	Africa	NEW CALEDONIA                                  	4	0
298	2005-01-01	Africa	NIGERIA                                        	8	0
299	2005-01-01	Africa	NIUE                                           	1	0
300	2005-01-01	Africa	NORFOLK ISLAND                                 	2	0
301	2005-01-01	Africa	PAPUA NEW GUINEA                               	1	0
302	2005-01-01	Africa	RWANDA                                         	1	0
303	2005-01-01	Africa	SENEGAL                                        	1	0
304	2005-01-01	Africa	SEYCHELLES                                     	2	0
305	2005-01-01	Africa	SOUTH AFRICA                                   	528	8
306	2005-01-01	Africa	SUDAN						2	0
307	2005-01-01	Africa	TANZANIA, UNITED REPUBLIC OF                   	6	0
308	2005-01-01	Africa	UGANDA                                         	1	0
309	2005-01-01	Africa	ZAMBIA                                         	2	0
310	2005-01-01	Africa	ZIMBABWE                                       	1	1
311	2005-01-01	Asia/Pacific	AFGHANISTAN                                    	1	0
312	2005-01-01	Asia/Pacific	ARMENIA                                        	1	0
313	2005-01-01	Asia/Pacific	AUSTRALIA                                      	907	368
314	2005-01-01	Asia/Pacific	AZERBAIJAN                                     	3	0
315	2005-01-01	Asia/Pacific	Asia/Pacific Region	9	0
316	2005-01-01	Asia/Pacific	BAHRAIN                                        	9	0
317	2005-01-01	Asia/Pacific	BANGLADESH                                     	14	0
318	2005-01-01	Asia/Pacific	BHUTAN                                         	1	0
319	2005-01-01	Asia/Pacific	CAMBODIA                                       	4	0
320	2005-01-01	Asia/Pacific	CHINA                                          	147	7
321	2005-01-01	Asia/Pacific	CYPRUS                                         	5	0
322	2005-01-01	Asia/Pacific	GEORGIA                                        	11	0
323	2005-01-01	Asia/Pacific	HONG KONG                                      	27	11
324	2005-01-01	Asia/Pacific	INDIA                                          	58	5
325	2005-01-01	Asia/Pacific	INDONESIA                                      	51	0
326	2005-01-01	Asia/Pacific	IRAN (ISLAMIC REPUBLIC OF)                     	8	0
327	2005-01-01	Asia/Pacific	IRAQ                                           	3	0
328	2005-01-01	Asia/Pacific	ISRAEL                                         	34	15
329	2005-01-01	Asia/Pacific	JAPAN                                          	197	138
330	2005-01-01	Asia/Pacific	JORDAN                                         	7	1
331	2005-01-01	Asia/Pacific	KAZAKHSTAN                                     	6	0
332	2005-01-01	Asia/Pacific	KOREA, REPUBLIC OF                             	72	14
333	2005-01-01	Asia/Pacific	KUWAIT                                         	5	0
334	2005-01-01	Asia/Pacific	KYRGYZSTAN                                     	2	0
335	2005-01-01	Asia/Pacific	LAO PEOPLE'S DEMOCRATIC REPUBLIC               	2	0
336	2005-01-01	Asia/Pacific	LEBANON                                        	6	0
337	2005-01-01	Asia/Pacific	MACAO                                          	2	0
338	2005-01-01	Asia/Pacific	MALAYSIA                                       	13	1
339	2005-01-01	Asia/Pacific	MALDIVES                                       	2	0
340	2005-01-01	Asia/Pacific	MONGOLIA					1	0
341	2005-01-01	Asia/Pacific	NEPAL                                          	1	0
342	2005-01-01	Asia/Pacific	NEW ZEALAND                                    	473	75
343	2005-01-01	Asia/Pacific	PAKISTAN                                       	16	1
344	2005-01-01	Asia/Pacific	PALESTINIAN TERRITORY, OCCUPIED			4	0
345	2005-01-01	Asia/Pacific	PHILIPPINES                                    	27	9
346	2005-01-01	Asia/Pacific	QATAR                                          	2	0
347	2005-01-01	Asia/Pacific	SAUDI ARABIA                                   	17	6
348	2005-01-01	Asia/Pacific	SINGAPORE                                      	30	7
349	2005-01-01	Asia/Pacific	SRI LANKA                                      	0	1
350	2005-01-01	Asia/Pacific	SYRIAN ARAB REPUBLIC                           	1	0
351	2005-01-01	Asia/Pacific	TAJIKISTAN                                     	1	0
352	2005-01-01	Asia/Pacific	THAILAND                                       	24	10
353	2005-01-01	Asia/Pacific	TURKEY                                         	29	6
354	2005-01-01	Asia/Pacific	UNITED ARAB EMIRATES                           	6	2
355	2005-01-01	Asia/Pacific	UZBEKISTAN                                     	3	0
356	2005-01-01	Asia/Pacific	VIET NAM                                       	11	0
357	2005-01-01	Europe	ALBANIA                                        	3	0
358	2005-01-01	Europe	ANDORRA                                        	1	0
359	2005-01-01	Europe	AUSTRIA                                        	74	77
360	2005-01-01	Europe	BELARUS                                        	4	0
361	2005-01-01	Europe	BELGIUM                                        	144	57
362	2005-01-01	Europe	BOSNIA AND HERZEGOVINA                         	7	0
363	2005-01-01	Europe	BULGARIA                                       	36	2
364	2005-01-01	Europe	CROATIA 				       	11	1
365	2005-01-01	Europe	CZECH REPUBLIC                                 	31	10
366	2005-01-01	Europe	DENMARK                                        	48	17
367	2005-01-01	Europe	ESTONIA                                        	15	0
368	2005-01-01	Europe	EUROPEAN UNION	2819	93
369	2005-01-01	Europe	FINLAND                                        	30	126
370	2005-01-01	Europe	FRANCE                                         	152	230
371	2005-01-01	Europe	GERMANY                                        	314	677
372	2005-01-01	Europe	GIBRALTAR                                      	2	0
373	2005-01-01	Europe	GREECE                                         	59	10
374	2005-01-01	Europe	HUNGARY                                        	22	16
375	2005-01-01	Europe	ICELAND                                        	6	1
376	2005-01-01	Europe	IRELAND                                        	45	19
377	2005-01-01	Europe	ITALY                                          	68	382
378	2005-01-01	Europe	LATVIA                                         	28	2
379	2005-01-01	Europe	LIECHTENSTEIN                                  	6	0
380	2005-01-01	Europe	LITHUANIA                                      	15	0
381	2005-01-01	Europe	LUXEMBOURG                                     	12	17
382	2005-01-01	Europe	MACEDONIA, THE FORMER YUGOSLAV REPUBLIC OF     	2	0
383	2005-01-01	Europe	MALTA                                          	12	1
384	2005-01-01	Europe	MOLDOVA, REPUBLIC OF                           	4	0
385	2005-01-01	Europe	MONACO                                         	3	0
386	2005-01-01	Europe	NETHERLANDS                                    	174	161
387	2005-01-01	Europe	NORWAY                                         	39	110
388	2005-01-01	Europe	POLAND                                         	217	25
389	2005-01-01	Europe	PORTUGAL                                       	11	102
390	2005-01-01	Europe	ROMANIA                                        	142	5
391	2005-01-01	Europe	RUSSIAN FEDERATION                             	311	26
392	2005-01-01	Europe	SERBIA	4	0
393	2005-01-01	Europe	SLOVAKIA 			               	16	6
394	2005-01-01	Europe	SLOVENIA                                       	16	2
395	2005-01-01	Europe	SPAIN                                          	84	91
396	2005-01-01	Europe	SWEDEN                                         	87	221
397	2005-01-01	Europe	SWITZERLAND                                    	469	458
398	2005-01-01	Europe	UKRAINE                                        	148	7
399	2005-01-01	Europe	UNITED KINGDOM                                 	2	499
400	2005-01-01	Europe	YUGOSLAVIA                                     	3	18
401	2005-01-01	None	None	446	30
402	2005-01-01	North America	ANGUILLA                                       	1	0
403	2005-01-01	North America	ANTIGUA AND BARBUDA                            	1	0
404	2005-01-01	North America	ARUBA                                          	1	0
405	2005-01-01	North America	BAHAMAS                                        	1	1
406	2005-01-01	North America	BARBADOS                                       	2	0
407	2005-01-01	North America	BERMUDA                                        	2	0
408	2005-01-01	North America	CANADA                                         	105	70
409	2005-01-01	North America	CAYMAN ISLANDS                                 	1	0
410	2005-01-01	North America	COSTA RICA                                     	2	0
411	2005-01-01	North America	CUBA                                           	3	1
412	2005-01-01	North America	DOMINICAN REPUBLIC                             	4	0
413	2005-01-01	North America	EL SALVADOR                                    	3	0
414	2005-01-01	North America	GREENLAND                                      	1	0
415	2005-01-01	North America	GUATEMALA                                      	2	0
416	2005-01-01	North America	HONDURAS                                       	1	0
417	2005-01-01	North America	JAMAICA                                        	5	1
418	2005-01-01	North America	MEXICO                                         	4	2
419	2005-01-01	North America	NETHERLANDS ANTILLES                           	5	0
420	2005-01-01	North America	NICARAGUA                                      	1	0
421	2005-01-01	North America	PANAMA                                         	9	2
422	2005-01-01	North America	PUERTO RICO                                    	5	0
423	2005-01-01	North America	SAINT KITTS AND NEVIS                          	1	0
424	2005-01-01	North America	SURINAME					1	0
425	2005-01-01	North America	UNITED STATES                                  	1072	509
426	2005-01-01	North America	VIRGIN ISLANDS (BRITISH)                       	1	0
427	2005-01-01	North America	VIRGIN ISLANDS (U.S.)                          	1	0
428	2005-01-01	Other	TAIWAN, PROVINCE OF CHINA                      	27	23
429	2005-01-01	South America	ARGENTINA                                      	35	4
430	2005-01-01	South America	BOLIVIA                                        	2	0
431	2005-01-01	South America	BRAZIL                                         	3	2
432	2005-01-01	South America	CHILE                                          	25	3
433	2005-01-01	South America	COLOMBIA                                       	33	0
434	2005-01-01	South America	ECUADOR                                        	12	0
435	2005-01-01	South America	PARAGUAY                                       	6	0
436	2005-01-01	South America	PERU                                           	5	0
437	2005-01-01	South America	TRINIDAD AND TOBAGO                            	5	0
438	2005-01-01	South America	URUGUAY                                        	5	0
439	2005-01-01	South America	VENEZUELA, BOLIVARIAN REPUBLIC OF              	9	0
440	2006-01-01	Africa	ALGERIA                                        	4	0
441	2006-01-01	Africa	ANGOLA                                         	6	0
442	2006-01-01	Africa	BENIN                                          	1	0
443	2006-01-01	Africa	BOTSWANA                                       	2	0
444	2006-01-01	Africa	BURUNDI                                        	1	0
445	2006-01-01	Africa	CAMEROON                                       	4	0
446	2006-01-01	Africa	CENTRAL AFRICAN REPUBLIC                       	1	0
447	2006-01-01	Africa	COTE D'IVOIRE                                  	2	0
448	2006-01-01	Africa	EGYPT                                          	8	0
449	2006-01-01	Africa	FIJI                                           	1	0
450	2006-01-01	Africa	FRENCH POLYNESIA                               	1	0
451	2006-01-01	Africa	GABON                                          	1	0
452	2006-01-01	Africa	GHANA                                          	6	0
453	2006-01-01	Africa	GUAM                                           	1	0
454	2006-01-01	Africa	KENYA                                          	10	0
455	2006-01-01	Africa	KIRIBATI                                       	1	0
456	2006-01-01	Africa	LESOTHO                                        	1	0
457	2006-01-01	Africa	LIBERIA                                        	1	0
458	2006-01-01	Africa	LIBYAN ARAB JAMAHIRIYA                         	1	0
459	2006-01-01	Africa	MADAGASCAR                                     	2	0
460	2006-01-01	Africa	MAURITIUS                                      	3	0
461	2006-01-01	Africa	MICRONESIA, FEDERATED STATES OF                	1	0
462	2006-01-01	Africa	MOROCCO                                        	2	0
463	2006-01-01	Africa	MOZAMBIQUE                                     	4	0
464	2006-01-01	Africa	NAMIBIA                                        	2	0
465	2006-01-01	Africa	NEW CALEDONIA                                  	1	0
466	2006-01-01	Africa	NIGERIA                                        	11	0
467	2006-01-01	Africa	NORTHERN MARIANA ISLANDS                       	1	0
468	2006-01-01	Africa	PAPUA NEW GUINEA                               	1	0
469	2006-01-01	Africa	RWANDA                                         	1	0
