193		40	"Africa"	"NORFOLK ISLAND                                 "	3	0
194		40	"Africa"	"NORTHERN MARIANA ISLANDS                       "	2	0
195		40	"Africa"	"PAPUA NEW GUINEA                               "	5	0
196		40	"Africa"	"REUNION                                        "	1	0
197		40	"Africa"	"RWANDA                                         "	8	0
198		40	"Africa"	"SAMOA                                          "	3	0
199		40	"Africa"	"SENEGAL                                        "	3	0
200		40	"Africa"	"SEYCHELLES                                     "	8	0
201		40	"Africa"	"SIERRA LEONE                                   "	5	1
202		40	"Africa"	"SOUTH AFRICA                                   "	628	18
203		40	"Africa"	"SUDAN					"	7	0
204		40	"Africa"	"SWAZILAND                                      "	6	0
205		40	"Africa"	"TANZANIA, UNITED REPUBLIC OF                   "	27	0
206		40	"Africa"	"TOGO                                           "	1	0
207		40	"Africa"	"TONGA                                          "	2	0
208		40	"Africa"	"TUNISIA                                        "	3	0
209		40	"Africa"	"UGANDA                                         "	12	0
210		40	"Africa"	"VANUATU                                        "	3	0
211		40	"Africa"	"WALLIS AND FUTUNA 	                       "	1	0
212		40	"Africa"	"ZAMBIA                                         "	10	0
213		40	"Africa"	"ZIMBABWE                                       "	9	1
214		50	"Other"	"BRITISH INDIAN OCEAN TERRITORY                 "	1	0
215		50	"Other"	"TAIWAN, PROVINCE OF CHINA                      "	265	30
